Country Name,Country Code,Series Name,Series Code,2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
French Polynesia,PYF,Net migration,SM.POP.NETM,-2816,-1443,-1348,-1348,-1348,-1261
Gabon,GAB,Net migration,SM.POP.NETM,2233,1506,1503,987,987,1105
"Gambia, The",GMB,Net migration,SM.POP.NETM,-4186,-1949,-1949,-3000,-3000,-2989
Georgia,GEO,Net migration,SM.POP.NETM,-5412,-2738,-2738,26999,2003,1745
Germany,DEU,Net migration,SM.POP.NETM,319082,203468,310264,981552,609553,36954
Ghana,GHA,Net migration,SM.POP.NETM,-21857,-291,-11259,-10003,-10003,-13114
Gibraltar,GIB,Net migration,SM.POP.NETM,475,514,561,613,689,598
Greece,GRC,Net migration,SM.POP.NETM,36762,6353,-160277,-53997,-159430,-122772
Greenland,GRL,Net migration,SM.POP.NETM,-308,-328,-324,-323,-318,-284
Grenada,GRD,Net migration,SM.POP.NETM,-181,0,-69,-190,-190,-192
Guam,GUM,Net migration,SM.POP.NETM,-2967,-244,-244,-500,-500,-504
Guatemala,GTM,Net migration,SM.POP.NETM,-57746,-23927,-29908,-8463,-8940,-7725
Guinea,GIN,Net migration,SM.POP.NETM,-3240,-4365,-4373,-3997,-3997,-12024
Guinea-Bissau,GNB,Net migration,SM.POP.NETM,-1395,-1394,-1395,-1400,-1400,-1712
Guyana,GUY,Net migration,SM.POP.NETM,-20603,-1743,-689,-6161,-6161,-5407
Haiti,HTI,Net migration,SM.POP.NETM,-34612,-33850,-32952,-32220,-31786,-31747
Honduras,HND,Net migration,SM.POP.NETM,-6546,-6199,-5777,-5374,-5044,-4821
"Hong Kong SAR, China",HKG,Net migration,SM.POP.NETM,-7170,-1800,-3427,-3427,-3427,-19272
Hungary,HUN,Net migration,SM.POP.NETM,34339,9147,20372,41871,49213,16223
Iceland,ISL,Net migration,SM.POP.NETM,5030,2498,4911,6535,4630,3543
India,IND,Net migration,SM.POP.NETM,-978969,-73806,-348916,-1353478,-979179,-630830
Indonesia,IDN,Net migration,SM.POP.NETM,-30421,-18743,-11248,-37501,-37501,-38469
"Iran, Islamic Rep.",IRN,Net migration,SM.POP.NETM,-32794,-180680,334967,403190,262044,190156
Iraq,IRQ,Net migration,SM.POP.NETM,-43919,29858,17474,76821,-5710,-17735
Ireland,IRL,Net migration,SM.POP.NETM,29663,15746,27419,93535,43873,39059
Isle of Man,IMN,Net migration,SM.POP.NETM,237,219,192,199,196,177
Israel,ISR,Net migration,SM.POP.NETM,16134,16573,16859,50004,9999,10612
Italy,ITA,Net migration,SM.POP.NETM,46634,85281,157327,231228,150189,95246
Jamaica,JAM,Net migration,SM.POP.NETM,-10335,0,-4665,-10003,-10003,-10506
Japan,JPN,Net migration,SM.POP.NETM,318190,42001,-34996,175003,175003,153357
Jordan,JOR,Net migration,SM.POP.NETM,-23156,6745,6573,-17445,-17445,-156369
Kazakhstan,KAZ,Net migration,SM.POP.NETM,2594,-8716,-9804,45755,-4822,-7368
Kenya,KEN,Net migration,SM.POP.NETM,-61949,-17111,-52552,-10003,-10003,-19781
Kiribati,KIR,Net migration,SM.POP.NETM,-705,0,-348,-395,-485,-471
"Korea, Dem. People's Rep.",PRK,Net migration,SM.POP.NETM,-3142,-1585,-1585,-1997,-1997,-2473
"Korea, Rep.",KOR,Net migration,SM.POP.NETM,128622,112631,-16778,87800,87800,75963
