Country Name,Country Code,Series Name,Series Code,2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
United States,USA,"Compulsory education, duration (years)",SE.COM.DURS,12,12,12,12,12,..
Uruguay,URY,"Compulsory education, duration (years)",SE.COM.DURS,14,14,14,14,14,..
Uzbekistan,UZB,"Compulsory education, duration (years)",SE.COM.DURS,12,12,12,12,12,..
Vanuatu,VUT,"Compulsory education, duration (years)",SE.COM.DURS,..,..,..,..,..,..
"Venezuela, RB",VEN,"Compulsory education, duration (years)",SE.COM.DURS,17,17,17,..,17,..
Viet Nam,VNM,"Compulsory education, duration (years)",SE.COM.DURS,10,10,10,10,10,..
Virgin Islands (U.S.),VIR,"Compulsory education, duration (years)",SE.COM.DURS,..,..,..,..,..,..
West Bank and Gaza,PSE,"Compulsory education, duration (years)",SE.COM.DURS,10,10,10,10,10,..
"Yemen, Rep.",YEM,"Compulsory education, duration (years)",SE.COM.DURS,9,9,9,9,9,..
Zambia,ZMB,"Compulsory education, duration (years)",SE.COM.DURS,7,7,7,7,7,..
Zimbabwe,ZWE,"Compulsory education, duration (years)",SE.COM.DURS,7,7,7,7,7,..
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,
Last Updated: 04/15/2025,,,,,,,,,
